analysis_ID	dataset_ID
2I1Y0Z9	EGAD00001002907
AI8K1H6	EGAD00001002912
DE7909W	EGAD00001002710
50RWL61	EGAD00001002905
YA4JE89	EGAD00001002908
7F3ZM3T	EGAD00001002911
77SHGAG	EGAD00001002917
2W5JG33	EGAD00001002916
ZF8WDFS	EGAD00001002708
806P56P	EGAD00001002709
5OCQITY	EGAD00001002906
3CA9B3H	EGAD00001002909
7UV42I3	EGAD00001002904
BYPLWTE	EGAD00001002915
IO8L3WL	EGAD00001002922
IYRVLF5	EGAD00001002901
C5J912G	EGAD00001002900
ERUH8Y4	EGAD00001002899
I9178W9	EGAD00001002921
F27B011	EGAD00001002919
314Z52D	EGAD00001002914
9M7H5EI	EGAD00001002913
O697I0L	EGAD00001002910
0QJ6J2T	EGAD00001001524
JD32HPP	EGAD00001002918
1KEQR84	EGAD00001002903
GM30XFD	EGAD00001002902
128T8B4	EGAD00001002355
Z9UVZX7	EGAD00001000674
UYX1M7A	EGAD00001000905
P7IG2M6	EGAD00001000926
TH4Q396	EGAD00001000931
UV0S22F	EGAD00001000942
0Z1340C	EGAD00001001130
3XQ4689	EGAD00001001161
2DZJ8RE	EGAD00001001185
R7G5NGR	EGAD00001001190
KSW7QD4	EGAD00001001193
I7P5J7R	EGAD00001001198
O3F124I	EGAD00001001475
22W5B3O	EGAD00001001476
25EDJ1B	EGAD00001001545
M2P3ODC	EGAD00001001549
B1XYXQO	EGAD00001001560
DFNEQ09	EGAD00001001573
0996EFA	EGAD00001001581
WFP1503	EGAD00001002285
3WR61X3	EGAD00001002480
7QHDPQ2	EGAD00001002713
37F102B	EGAD00001002499
LPHTEXM	EGAD00001002481
U05HLZY	EGAD00001002468
413FM0J	EGAD00001002459
3RGFT20	EGAD00001002425
H84559E	EGAD00001002398
BV5W979	EGAD00001002382
K5LA59U	EGAD00001002374
C18HPI3	EGAD00001002350
9XZ8QTP	EGAD00001002300
Q15VFHB	EGAD00001002290
T04OBGX	EGAD00001002286
